30,100,9,7,8,3,32,15,0,72,74,35,75,10,13,1,179,2,44
100,30,4,6,2,1,2,2,0,4,7,2,32,0,1,2,10,0,0
9,4,20,4,0,1,1,3,0,0,3,1,10,0,2,0,4,1,0
7,6,4,20,0,0,1,3,0,3,5,1,48,0,2,0,4,0,0
8,2,0,0,50,91,0,0,1,2,3,0,6,3,14,0,6,0,0
3,1,1,0,91,50,0,0,0,2,2,0,1,1,1,0,1,1,0
32,2,1,1,0,0,50,5,2,1,9,0,46,41,2,2,143,3,2
15,2,3,3,0,0,5,50,5,2,25,5,126,0,5,1,18,0,0
0,0,0,0,1,0,2,5,10,0,3,0,15,1,0,0,6,0,0
72,4,0,3,2,2,1,2,0,30,8,4,45,2,2,0,10,1,0
74,7,3,5,3,2,9,25,3,8,50,4,140,4,1,0,51,1,2
35,2,1,1,0,0,0,5,0,4,4,50,7,0,1,0,6,0,0
75,32,10,48,6,1,46,126,15,45,140,7,70,19,7,1,175,7,10
10,0,0,0,3,1,41,0,1,2,4,0,19,60,0,30,93,1,5
13,1,2,2,14,1,2,5,0,2,1,1,7,0,50,2,4,1,0
1,2,0,0,0,0,2,1,0,0,0,0,1,30,2,70,39,0,0
179,10,4,4,6,1,143,18,6,10,51,6,175,93,4,39,50,43,17
2,0,1,0,0,1,3,0,0,1,1,0,7,1,1,0,43,100,0
44,0,0,0,0,0,2,0,0,0,2,0,10,5,0,0,17,0,50
